Product name ,Quantity,Description,Seller,Cost (USD),Link
LCD,1,"3.5"" TFT LCD by BigTreeTech for the printer menu/UI. The main interface of the printer",AliExpress,36.34,https://www.aliexpress.com/item/1005006783206914.html?spm=a2g0o.productlist.main.7.3c643b8acDv74t&algo_pvid=e0ec8a12-c3a6-4b1f-a1f8-8e60f8eb7598&algo_exp_id=e0ec8a12-c3a6-4b1f-a1f8-8e60f8eb7598-6&pdp_ext_f=%7B%22order%22%3A%2276%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2182.22%2137.23%21%21%21380.67%21172.38%21%40210318a717669101153216066ef8af%2112000038283931749%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475350&curPageLogUid=Rb1mUEBL8c8L&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006783206914%7C_p_origin_prod%3A
Arduino Mega,1,"Arduino mega 2560, the MCU of the printer. Handles the entire printer and connects to the motherboard/PCB. Runs Marlin firmware ",AliExpress,7.6,https://www.aliexpress.com/item/1005007392480051.html?spm=a2g0o.productlist.main.4.6b9210d2QxCwg7&aem_p4p_detail=20251228003507312714479403420002420793&algo_pvid=f96f19f1-a285-4708-bc33-963e26afa6b3&algo_exp_id=f96f19f1-a285-4708-bc33-963e26afa6b3-3&pdp_ext_f=%7B%22order%22%3A%22180%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2127.96%2111.32%21%21%21129.46%2152.42%21%402103122117669109069594607ea8a1%2112000040560322136%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475393&curPageLogUid=TYVlOChCWfv3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007392480051%7C_p_origin_prod%3A&search_p4p_id=20251228003507312714479403420002420793_1
Limit switch,6,"Limit switches for the end stops of each of the three axis, a min and max, for a total of 6",AliExpress,1.01,https://www.aliexpress.com/item/1005009049556408.html?spm=a2g0n.productlist.0.0.535831417NoxWZ&browser_id=4f3c3ed565064dc0a85e759ab96eb160&aff_trace_key=b324568051154cbfa9cf5d2a960243ed-1763873547648-09778-_DBJ44pz&aff_platform=msite&m_page_id=fwixtsnbccaqkwen19b5966a41db912315b215a022&gclid=&pdp_ext_f=%7B%22order%22%3A%22817%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.70%211.50%21%21%2117.11%216.93%21%402101e81117667314575536312efe97%2112000047711627683%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abe97c7e1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461947&algo_pvid=6b6c1c78-1b91-4c57-9a26-59c8ba15db1d&search_p4p_id=202512252244173462611275426160000744826_1
NEMA 17 stepper motor,5,42x42 NEMA 17 stepper motors for controlling the printer. 1 each for the x and y axis. 2 for the z axis and 1 for the extruder,AliExpress,5.03,https://www.aliexpress.com/item/1005008459399126.html?spm=a2g0o.productlist.main.11.7cdf3cedNi1hcq&algo_pvid=fc682b8b-bcbd-4dd1-90c8-c82f538c5aca&algo_exp_id=fc682b8b-bcbd-4dd1-90c8-c82f538c5aca-10&pdp_ext_f=%7B%22order%22%3A%221267%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2112.59%211.50%21%21%218.32%210.99%21%402101e2b417669576634537488e83c6%2112000045225398666%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475358&curPageLogUid=Dla8CLnKM9ty&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008459399126%7C_p_origin_prod%3A#nav-description
8mm smooth rod,10,"Linear rods form the sliding support for the gantries. 2 per support axis, this makes a total of 4 on the y axis, 2 on the x axis, and 4 on the z axis, for a total of 10",AliExpress,11.88,https://www.aliexpress.com/item/1005003880308931.html?spm=a2g0o.productlist.main.5.43f17eb5SE6bkI&algo_pvid=8f0f510f-c4d9-4b74-b282-1b1cbd9857f2&algo_exp_id=8f0f510f-c4d9-4b74-b282-1b1cbd9857f2-4&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%217.08%211.50%21%21%214.68%210.99%21%402101e2b617669627698828543e2e5b%2112000027378471595%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475295&curPageLogUid=XDQterNnaSSd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003880308931%7C_p_origin_prod%3A
6mm smooth rod,1,"The 6mm smooth rod is cut up into small lengths ~2cm. Six lengths are used to form 3 points of contact in a kinematic coupling, which is the basis for the tool changer mounting. There is roughly 120mm of rod per tool",AliExpress,1.01,https://www.aliexpress.com/item/1005006293171727.html?spm=a2g0o.productlist.main.4.5c3635bf2lwfNv&algo_pvid=99ad1ba1-ffed-4ef8-95ee-5f4418c439e0&algo_exp_id=99ad1ba1-ffed-4ef8-95ee-5f4418c439e0-3&pdp_ext_f=%7B%22order%22%3A%222665%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.19%212.13%21%21%212.77%211.41%21%402101f70717669137663041694e2eb9%2112000036638889765%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=urxszV9lYQty&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006293171727%7C_p_origin_prod%3A
8mm steel balls,6,"The steel balls make up the tool head side of the coupling, sliding into the pairs of rods to make a kinematic coupling. Three balls are required per tool",AliExpress,1.01,https://www.aliexpress.com/item/1005005554036467.html?spm=a2g0o.productlist.main.5.433f4c4cXT26k5&algo_pvid=c7248db0-4814-434d-88e2-331c39d0c514&algo_exp_id=c7248db0-4814-434d-88e2-331c39d0c514-4&pdp_ext_f=%7B%22order%22%3A%2289%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%217.84%211.50%21%21%215.18%210.99%21%402101c59117669632927853349e1b5d%2112000033518326662%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475365&curPageLogUid=azCOQcRzlIZV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005554036467%7C_p_origin_prod%3A
Aluminium profile,16,500mm 2020 Aluminium profiles make up the support frame. They form a cube to mount axis and standby tools.,AliExpress,16.12,https://www.aliexpress.com/item/1005006896996989.html?spm=a2g0o.productlist.main.5.4a87575edNMkKC&aem_p4p_detail=20251228013048673595367267420002436439&algo_pvid=cfd697b6-1cd0-4199-8527-acf2830bc9e5&algo_exp_id=cfd697b6-1cd0-4199-8527-acf2830bc9e5-4&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2120.02%211.50%21%21%2192.70%216.96%21%402103119c17669142481095578ee161%2112000038649960987%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475369&curPageLogUid=pfNdzqVmENVb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006896996989%7C_p_origin_prod%3A&search_p4p_id=20251228013048673595367267420002436439_5
Leadscrew,2,"500mm leadscrews with 8mm lead, 2mm pitch, T8. Allow the motion of the Z axis",AliExpress,1.01,https://www.aliexpress.com/item/1005007979792529.html?spm=a2g0o.productlist.main.2.4e939a13Vg4TiT&algo_pvid=57ba6b54-aa04-4815-ab78-f87d5ed4fc3f&algo_exp_id=57ba6b54-aa04-4815-ab78-f87d5ed4fc3f-1&pdp_ext_f=%7B%22order%22%3A%2269%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%216.22%211.50%21%21%2128.78%216.93%21%402101e2b617669628526382707e2e5b%2112000043133955466%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475311&curPageLogUid=yCehVBmz5IU3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007979792529%7C_p_origin_prod%3A
Anti-backlash leadscrew nut,4,The nut block for attaching leadscrews to the aluminium profiles that support the Z axis/Bed,AliExpress,1.01,https://www.aliexpress.com/item/1005006826718120.html?spm=a2g0o.productlist.main.13.43285c65ecTfHX&algo_pvid=5f4461ae-c2f1-4c7b-9ad3-81bf4ca1bd58&algo_exp_id=5f4461ae-c2f1-4c7b-9ad3-81bf4ca1bd58-12&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.64%211.50%21%21%2116.86%216.95%21%402101e2b217669134000985510e2dec%2112000038429516531%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475369&curPageLogUid=GK6GVR0XCTTx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006826718120%7C_p_origin_prod%3A
