Product name ,Quantity,Description,Seller,Cost (USD),Link
LCD,1,"3.5"" TFT LCD by BigTreeTech for the printer menu/UI. The main interface of the printer",Aliexpress,13.99,https://www.aliexpress.com/item/1005005854372603.html?spm=a2g0o.productlist.main.2.4f2d7e5P7e5PAx&algo_pvid=b665dd7d-69eb-4d07-92a9-80f6ded78bb2&algo_exp_id=b665dd7d-69eb-4d07-92a9-80f6ded78bb2-1&pdp_ext_f=%7B%22order%22%3A%22131%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%21123.44%2120.79%21%21%21567.54%2195.58%21%40210311c217688812846677025ef88c%2112000034599361944%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838541&curPageLogUid=qZsDAdC5Y4Xx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005854372603%7C_p_origin_prod%3A
Arduino Mega,1,"Arduino mega 2560, the MCU of the printer. Handles the entire printer and connects to the motherboard/PCB. Runs Marlin firmware ",AliExpress,14.53,https://www.aliexpress.com/item/1005006718820087.html?spm=a2g0o.productlist.main.9.88f95c60Wz7cWT&algo_pvid=3c34d6b7-f79d-4884-ac4f-322cf6d8e647&algo_exp_id=3c34d6b7-f79d-4884-ac4f-322cf6d8e647-8&pdp_ext_f=%7B%22order%22%3A%22925%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2119.39%218.01%21%21%2112.82%215.30%21%40210311c217688813290448912ef88c%2112000043382496409%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838568&curPageLogUid=aNr4dMdpbXv9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006718820087%7C_p_origin_prod%3A
Limit switch,6,"Limit switches for the end stops of each of the three axis, a min and max, for a total of 6",AliExpress,2.5,https://www.aliexpress.com/item/1005009049556408.html?spm=a2g0o.productlist.main.19.37e91cb0z7BDOK&algo_pvid=7fffa220-45bc-4a53-94bf-e29fc3c5e00c&algo_exp_id=7fffa220-45bc-4a53-94bf-e29fc3c5e00c-16&pdp_ext_f=%7B%22order%22%3A%22968%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.33%211.50%21%21%2119.89%216.88%21%40210311cc17688814274518716e14ad%2112000047711627692%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838568&curPageLogUid=5GZwXXJUzPi6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009049556408%7C_p_origin_prod%3A
NEMA 17 stepper motor,5,42x42 NEMA 17 stepper motors for controlling the printer. 1 each for the x and y axis. 2 for the z axis and 1 for the extruder,Temu,35.32,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601100099700138&sku_id=17594719832184&_oak_page_source=501&_x_sessn_id=rpwii9rne6&refer_page_name=shopping_cart&refer_page_id=10037_1768881210433_mvtqu6yi6b&refer_page_sn=10037
Hotend,2,The filament nozzle device. One is required per toolhead. The Cr6-SE is a cheap but effective hotend including a thermistor,Temu,7.54,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099512788933&sku_id=17592199150557&_oak_page_source=501&_x_sessn_id=rpwii9rne6&refer_page_name=shopping_cart&refer_page_id=10037_1768881210433_mvtqu6yi6b&refer_page_sn=10037
Buck Converter,1,DC-DC step down Buck converter to get 5V logic on the PCB from the 24V PSU input to power stepper drivers and LCD,AliExpress,2.52,https://www.aliexpress.com/item/1005005671924823.html?spm=a2g0o.productlist.main.3.1bea4859tgyYbn&algo_pvid=ca5acbf2-4958-4eb5-9f1b-3d4db1b46858&aem_p4p_detail=202601192001563622047629463180003210817&algo_exp_id=ca5acbf2-4958-4eb5-9f1b-3d4db1b46858-2&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.75%211.50%21%21%2117.23%216.89%21%402101ee6617688817161924508ecc8b%2112000033965307139%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838625&curPageLogUid=Uh3WaYBHiqdz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005671924823%7C_p_origin_prod%3A&search_p4p_id=202601192001563622047629463180003210817_3
PSU,1,"24V 350W PSU. Plugs into wall, and has terminal blocks for DC output",AliExpress,17.57,https://www.aliexpress.com/item/1005010130797577.html?spm=a2g0o.productlist.main.1.32ec254cUY0KfU&algo_pvid=de1b7848-b198-4437-a4a4-ba0ee9a7365b&algo_exp_id=de1b7848-b198-4437-a4a4-ba0ee9a7365b-0&pdp_ext_f=%7B%22order%22%3A%221014%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2164.28%2126.31%21%21%21295.53%21120.98%21%402103110517688819752272998e34f4%2112000051268552340%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838625&curPageLogUid=jA1pArEAkMDu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010130797577%7C_p_origin_prod%3A
Screw terminals,2,"High current, 7.62mm pitch 2 pin screw terminals for PSU input to PCB and hotend heater connection",AliExpress,1.64,https://www.aliexpress.com/item/1005003493308832.html?spm=a2g0o.productlist.main.4.299cbVQ9bVQ9aH&algo_pvid=8715bf40-84c0-4dc3-bdb8-dd4643874d02&algo_exp_id=8715bf40-84c0-4dc3-bdb8-dd4643874d02-3&pdp_ext_f=%7B%22order%22%3A%22230%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.44%211.50%21%21%211.61%210.99%21%402101e2b017688820987978924e1a9c%2112000046285638762%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838615&curPageLogUid=nwVTtRybSPT9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003493308832%7C_p_origin_prod%3A
Mosfet,1,Logic level IRLZ44N MOSFET for controlling hotend,AliExpress,3.2,https://www.aliexpress.com/item/32812805504.html?spm=a2g0o.productlist.main.51.3bd74c44Fb6LOZ&algo_pvid=445a6d05-0415-4d96-9f19-97f6771ecf59&algo_exp_id=445a6d05-0415-4d96-9f19-97f6771ecf59-48&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.75%211.50%21%21%213.14%210.99%21%402103123917688822539646907e5939%2112000026689999988%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838595&curPageLogUid=0RdDFr5byskR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32812805504%7C_p_origin_prod%3A
2x18 Pin header,1, 2.54mm header socket for connecting the MCU to the PCB. One 2x18 pin socket,AliExpress,1.32,https://www.aliexpress.com/item/1005008966856219.html?spm=a2g0o.productlist.main.1.4ccb6c12MZ7lJo&algo_pvid=04068355-fa11-4152-a8e3-68fe6ac306dc&algo_exp_id=04068355-fa11-4152-a8e3-68fe6ac306dc-0&pdp_ext_f=%7B%22order%22%3A%22528%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.57%211.50%21%21%211.04%210.99%21%40210328db17688825166331551edccf%2112000047493524680%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838599&curPageLogUid=X4LfqQCw2NW1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008966856219%7C_p_origin_prod%3A
